"","id_gbs","trait","dap","y_hat"
"540","NSL51969","drymass","NA",11.6056315071401
"541","PI585406","drymass","NA",11.6066397584128
"542","NSL55279","drymass","NA",11.6163837727114
"543","PI452697","drymass","NA",11.6266097306179
"544","PI526152","drymass","NA",11.642499997702
"545","PI156268","drymass","NA",11.6668980463661
"546","PI505730","drymass","NA",11.6701817708702
"547","PI148101","drymass","NA",11.678113762456
"548","PI514291","drymass","NA",11.7168912272754
"549","PI329719","drymass","NA",11.7197071211726
"550","NSL52313","drymass","NA",11.7275910338009
"551","NSL50587","drymass","NA",11.7292743449897
"552","SORGRASS","drymass","NA",11.7307267946061
"553","PI453453","drymass","NA",11.7310278770019
"554","NSL52251","drymass","NA",11.73217589448
"555","NSL50745","drymass","NA",11.7362903743091
"556","PI330267","drymass","NA",11.7472065728975
"557","PI282835","drymass","NA",11.7498125562611
"558","PI506013","drymass","NA",11.7655548084625
"559","PI152611","drymass","NA",11.7662789667577
"560","PI506058","drymass","NA",11.7803528871586
"561","PI330023","drymass","NA",11.7811663939808
"562","PI152736A","drymass","NA",11.7885593640935
"563","PI221651","drymass","NA",11.8007086470204
"564","PI514556","drymass","NA",11.808195659339
"565","PI330894","drymass","NA",11.8271050146828
"566","PI330833","drymass","NA",11.8304703172292
"567","PI526108","drymass","NA",11.8347867910587
"568","PI152705","drymass","NA",11.8369020015355
"569","PI453339","drymass","NA",11.8378554937656
"570","PI452640","drymass","NA",11.8433542910126
"571","PI453162","drymass","NA",11.8663937785486
"572","PI276790","drymass","NA",11.870728106266
"573","PI329645","drymass","NA",11.8873216197162
"574","PI562995","drymass","NA",11.9051693079092
"575","PI329513","drymass","NA",11.9128423597788
"576","PI153860","drymass","NA",11.9151335635794
"577","NSL54144","drymass","NA",11.9181083157222
"578","PI562944","drymass","NA",11.9200117776159
"579","PI454927","drymass","NA",11.9337646228921
"580","PI525871","drymass","NA",11.9454084569317
"581","PI267542","drymass","NA",11.946045192089
"582","NSL54892","drymass","NA",11.952004097724
"583","PI526043","drymass","NA",11.9592456037632
"584","PI651116","drymass","NA",11.9699316332459
"585","PI524933","drymass","NA",11.9747469874636
"586","PI452584","drymass","NA",11.9845764761607
"587","PI453179","drymass","NA",11.9886821639696
"588","PI452714","drymass","NA",12.0014079527663
"589","PI271236","drymass","NA",12.0047405190864
"590","PI456423","drymass","NA",12.010604778729
"591","PI152727","drymass","NA",12.0255675171242
"592","PI452987","drymass","NA",12.0259144051611
"593","NSL54588","drymass","NA",12.0379966118001
"594","PI651178","drymass","NA",12.0488556613321
"595","PI148083","drymass","NA",12.0508493390126
"596","PI456392","drymass","NA",12.0634311055744
"597","PI651141","drymass","NA",12.0650900351714
"598","PI660601","drymass","NA",12.0722985404575
